165	2017-10-14	TTM-00000002	2.5		1			50			9	53.5	52.43	0.53	2017-11-27 15:16:13
166	2017-10-14	TTM-00000010	1110								3	1110	1087.8	11.1	2017-11-27 15:16:13
167	2017-10-14	TTM-00000012	0.1								1	0.1	0.1	0	2017-11-27 15:16:13
168	2017-10-14	TTM-00000013	1								1	1	0.98	0.01	2017-11-27 15:16:13
169	2017-10-15	TTM-00000002	3.1				0.2				9	3.3	1.24	1.03	2017-11-27 15:16:18
170	2017-10-15	TTM-00000010	5								2	5	4.9	0.05	2017-11-27 15:16:19
171	2017-11-25	TTM-00000002	350								3	350	343	3.5	2017-11-27 15:38:27
172	2017-11-25	TTM-00000010	5387.15					15			16	5402.15	5293.41	54.37	2017-11-27 15:38:27
173	2017-11-26	TTM-00000010	3138.6								13	3138.6	3075.83	31.39	2017-11-27 15:38:32
174	2017-11-26	TTM-00000012	0.1								1	0.1	0.1	0	2017-11-27 15:38:32
175	2017-11-27	TTM-00000002	90					2100			9	2190	2181.2	4.4	2017-11-28 09:52:07
176	2017-11-27	TTM-00000009					0.1				1	0.1	-0.9	0.5	2017-11-28 09:52:07
177	2017-11-27	TTM-00000010	4431.02					15			8	4446.02	4356.4	44.81	2017-11-28 09:52:08
178	2017-11-27	TTM-00000012	0.1								1	0.1	0.1	0	2017-11-28 09:52:08
